time_s,capture_area_xy,net_sag,surface_distance,capture_flag,f1_rel_err_3d,f2_rel_err_3d,f3_rel_err_3d,f1_est_err_3d,f2_est_err_3d,f3_est_err_3d,estimate_variance,enemy_x,enemy_y,enemy_z,leader_x,leader_y,leader_z,enemy_center_dist_3d,leader_enemy_dist_3d
18.1,281.96853940864867,0.7084017861508793,0.7580347031946851,1,1.472948222184761,0.848566025607199,1.9684370633051937,1.267981601711277,1.272139927995819,1.251707601840617,0.0002673183800864487,8.74380701105814,-5.079614991630615,8.803995037541592,0.04779373049122809,1.5743123791939335,8.3775842733113,2.4479863241185753,10.95797529527493
18.2,289.55939320859477,0.7180703805003616,0.7772891086365273,1,1.4430939606448672,0.8469752960179998,1.9449777747202226,1.2502159241788013,1.2316647482926382,1.2370648925185597,4.2985608227251526e-05,8.724974436848967,-5.122112199007085,8.785738241753714,-0.13599096491816456,1.67575690288602,8.38025497567919,2.374183456371884,11.175515596913352
18.3,296.96941869169916,0.7275002564047932,0.8053345640365778,1,1.4049370204261078,0.847828845738883,1.9129906911681722,1.1992553883125359,1.2427715099202759,1.1807551889387093,0.0003416051075465347,8.701411027270773,-5.163969092267065,8.769026165959426,-0.31398167186915216,1.7697507822683058,8.38261289924492,2.3051866558468816,11.37994253196936
18.400000000000002,304.1945930252831,0.7366973078435827,0.8440619184244941,1,1.356742356749144,0.8367827113312054,1.875785390505469,1.1372551559107291,1.1752018861541729,1.1366898649234105,0.0001462520635680916,8.673389503213143,-5.204709596834616,8.753849330771214,-0.48719248354140376,1.8570904727014064,8.384696832855012,2.2385053893506646,11.572448147426224
18.5,311.26824705431505,0.7456672832732678,0.821125939459255,1,1.3139534304509886,0.8151307528284679,1.8309488574939514,1.132153874751212,1.1011578842902627,1.0748842726289316,0.000322095685106329,8.64125994620694,-5.243903109683364,8.740198997826461,-0.656473816106955,1.9385364820612543,8.386540326024617,2.1771674203333014,11.754163775448806
18.6,318.1569052163271,0.7544157892204908,0.7864884393548786,1,1.260704506345275,0.7890392744019395,1.7844474208904133,1.0344138475513163,1.0437020685242422,1.0360051668646177,0.00018188728845294574,8.605334350496513,-5.2810912321723125,8.728066637275122,-0.8225238134797895,2.014811904655884,8.38817239646736,2.117845809065697,11.92603204074886
18.7,324.91081506100517,0.7629482937862561,0.7599793477090063,1,1.2096474919886566,0.7591033583699042,1.744672834863749,0.9978039407730054,0.9858946234996894,1.034404185113854,0.00020588266041094292,8.5660790143999,-5.315888023728,8.717443445273474,-0.9859138040166243,2.086611048583085,8.389618142108809,2.065044934224999,12.089045816276913
18.8,331.5398848608703,0.7712701300636742,0.7420301634522228,1,1.154405299294488,0.7432335492803519,1.7107355795481936,0.9194821463488038,1.0055021532259345,1.022545503444651,0.0010260433270940807,8.523995785449443,-5.347925364077648,8.708319908652353,-1.1470843537004594,2.1545933684902274,8.390899270478295,2.0194368874615565,12.244114269800425
18.900000000000002,338.12425648539113,0.7793864994713169,0.7310087342552907,1,1.115887277235672,0.7189894326451568,1.6716283096882663,0.9661829698374672,0.9321104131514037,0.962371570547734,0.0001508659952220359,8.479553741691532,-5.376837326734265,8.700685414169639,-1.3063578898739345,2.219385597745355,8.392034556632959,1.9792174796355868,12.392010915547813
19.0,344.6561915533722,0.7873024750042741,0.7296792734335876,1,1.0850119156498277,0.7041135951159527,1.6703657021386238,0.9702162788335509,0.9419489948390529,1.1272387343705261,0.002274118934747353,8.433550422952269,-5.402405603352916,8.694527899970444,-1.4639588494730047,2.2815857064754486,8.393040239262191,1.9562570697369055,12.533766674739939
