time_s,capture_area_xy,net_sag,surface_distance,capture_flag,f1_rel_err_3d,f2_rel_err_3d,f3_rel_err_3d,f1_est_err_3d,f2_est_err_3d,f3_est_err_3d,estimate_variance,enemy_x,enemy_y,enemy_z,leader_x,leader_y,leader_z,enemy_center_dist_3d,leader_enemy_dist_3d
71.7,379.8855340611675,1.099999406672272,0.6879546740663954,1,0.15210926443430944,0.1592325261130046,0.15135709176299963,0.10628097078751422,0.11952677373668649,0.15766212579109096,0.0002228469446737645,5.713740554136035,2.2157631256652617,8.663319512397857,-9.577675991602707,8.419668526915338,16.785678666525193,1.006533890731848,18.3926229894376
71.8,379.72078051048356,1.0999994213215858,0.7278193268334334,1,0.17071821986894886,0.1825137695424881,0.1817198033133647,0.1201392278083071,0.1568460617290721,0.16579779909057976,0.00021539667385593055,5.7963661143781176,2.2283073151790354,8.665369656450364,-9.538333746942747,8.43390267896588,16.788326072571664,1.0341386394602814,18.429456166530066
71.9,379.52193473800156,1.0999994356092069,0.7710220793415032,1,0.20339750334365966,0.21764434507913447,0.22145141661892556,0.17967818821767978,0.1983090156338076,0.2210555915229068,0.00010520557831339741,5.877835993220365,2.2414147402835733,8.668624108382245,-9.493148279640515,8.447908676858694,16.79098770165243,1.0671558887359869,18.459699749523587
72.0,378.97030028603865,1.099999449544065,0.8140248005089532,1,0.24915182004675115,0.26048375212217867,0.25645594019742324,0.24413499030441344,0.2427241701529799,0.22562722330502424,0.0006677198192566606,5.957173370528306,2.2561709102360354,8.67307115568093,-9.443064441125399,8.46179335843735,16.793663383598453,1.1008635812454248,18.482994691262103
72.10000000000001,378.5678312046118,1.0999994631348706,0.8554658150212545,1,0.2881920778835267,0.3037416929289657,0.2961507805558628,0.2401068870782619,0.27053023819230543,0.24827995896521982,0.00015117994808082764,6.033856989187227,2.273279723966796,8.678694793778378,-9.389031398617186,8.475795682180637,16.796352947337024,1.1359298953728132,18.499542273597115
72.2,378.3095867410866,1.099999476390118,0.884286882183953,1,0.3259087637614688,0.3440995459686173,0.340355002215752,0.24448536407976865,0.2802218770676972,0.28760329609142515,0.00048221472658020064,6.10731501539278,2.293767227430466,8.68547478365024,-9.331940551486326,8.49021737352283,16.799056220902795,1.1655714809719386,18.509370886427902
72.3,378.00436366365795,1.0999994893180918,0.9073269398838668,1,0.37551926322575274,0.37859361641942846,0.37544349673634114,0.3322975738488533,0.27278838503149694,0.2744776624733503,0.0006358469312420671,6.177261222217769,2.317967695722708,8.693386724654488,-9.272640157766313,8.505457941163103,16.80177303144891,1.193628525009834,18.512979681533317
72.4,377.8494155660618,1.0999995019268733,0.9240830176541464,1,0.41282179679863845,0.412632806542224,0.41937886001392244,0.30939134003450697,0.2975279642664479,0.34300948912373097,0.00043470925720767646,6.243470989742397,2.346004395975799,8.702402142347378,-9.211902601305411,8.521908087258945,16.80450320525815,1.22060103447748,18.51092652668911
72.5,377.614085398612,1.0999995142243426,0.9351742041722363,1,0.4527953679068147,0.44594621420694114,0.4459775794617336,0.35555439854291243,0.3235268070904013,0.2915201104744157,0.00042844485436378295,6.305831054450678,2.377851310910431,8.712488590960696,-9.150426317835308,8.53992241023436,16.807246567754163,1.2450706961162348,18.50384065253291
72.60000000000001,377.57704165967164,1.0999995262181863,0.9377819778691083,1,0.48090981227875246,0.47378040687657885,0.4729711169528633,0.33027632304763926,0.3244424804158833,0.31937306753564365,0.0002161266700648736,6.3642307234625735,2.413468118439112,8.723609770171493,-9.088830744852002,8.559804125388446,16.810002943512725,1.2633775266443412,18.49227702603685
72.7,377.6251187950689,1.0999995379159009,0.9366048017388329,1,0.5073631327088933,0.5093225800963102,0.49428188696808417,0.3525452795833908,0.3886959200382026,0.3156170140677713,0.00037074546141722,6.418478550840279,2.45262456149048,8.735725655744043,-9.027666639341431,8.581810070468277,16.812772156273063,1.2804030305790386,18.4767149788956
72.8,377.5158074803668,1.0999995493247978,0.9286502533029293,1,0.5331365261826484,0.5386456442708099,0.5095805956667022,0.3730622616354143,0.3926294604912004,0.30521068551116426,0.0005219570460124828,6.468473212184277,2.4951142276614435,8.74879264357387,-8.967436251310811,8.606131325415724,16.815554028949226,1.2961367321003767,18.457639886584776
