time_s,capture_area_xy,net_sag,surface_distance,capture_flag,f1_rel_err_3d,f2_rel_err_3d,f3_rel_err_3d,f1_est_err_3d,f2_est_err_3d,f3_est_err_3d,estimate_variance,enemy_x,enemy_y,enemy_z,leader_x,leader_y,leader_z,enemy_center_dist_3d,leader_enemy_dist_3d,downwash_intensity
48.5,385.31264144121184,1.0998040241125464,0.5341488096141735,1,0.4568595719793578,0.4492521902811243,0.41724390415133294,0.31601063732365553,0.29862786109953554,0.26873628128009835,0.00027435029684190834,5.542238086919093,-2.549084674954948,8.903937091847043,-9.236347392904054,3.407750281302057,16.669409748339362,1.4676795288232094,17.72549116552923,0.12541283709305187
48.6,385.4488888698511,1.0998088627744482,0.5347892842793198,1,0.4664730560094433,0.4599349156578746,0.4362145757371122,0.27069250761808067,0.281096444291271,0.31835069535721977,0.0008194002760430525,5.515957815137815,-2.5248490661868264,8.8847066337941,-9.261280748339646,3.451168052920592,16.6670331181368,1.450964439396406,17.738212020344445,0.12521084456103063
48.7,385.7670033314767,1.0998135819693617,0.5374192342983801,1,0.4655931320962093,0.4696798217063534,0.45264427296685916,0.23439458302400082,0.297292394978937,0.32698140208035775,0.0009660652590360455,5.492700008981643,-2.5052772132146686,8.865891107357603,-9.28626709898882,3.4918246658887018,16.664670755585977,1.4338017987554494,17.75398726282181,0.12499183678082959
48.800000000000004,385.99911805194813,1.0998181846469377,0.5404968544643972,1,0.4684590983750125,0.4687541847578218,0.4689606936296002,0.26738382260910193,0.26726455570384017,0.35258395623775324,0.0008085173660265008,5.472456211820523,-2.490133458914186,8.847558228114396,-9.310921505880195,3.529485200201589,16.662322870800097,1.413633425192497,17.772299006205007,0.12476103492283733
48.900000000000006,386.1288763455914,1.0998226736839993,0.5418521022850189,1,0.4642461412667144,0.47482915459133834,0.47483755081029666,0.24170453392661467,0.31251905858494006,0.3310317764625162,0.0009154609121630922,5.455398472320329,-2.4789512180090165,8.829773974632618,-9.334912825984857,3.5639789813000626,16.659989669400822,1.3928636762624114,17.79276795557931,0.12452378718616104
49.0,385.84514127822376,1.099827051886341,0.5451855271341632,1,0.4618641895516249,0.4603715343142877,0.4721031839115744,0.2618409398226678,0.23596158216962912,0.30684962358966605,0.0006471107974238172,5.441277585749122,-2.4713431793704825,8.812602351020116,-9.357931882245461,3.595221971611889,16.65767135298825,1.3674163728259616,17.81473887696184,0.12428514237134607
49.1,385.5556457051846,1.0998313219904818,0.5524943909275042,1,0.4506213498759854,0.4422399412950318,0.45997003486157906,0.22967867073868836,0.2111257826690399,0.2732408727845541,0.00039885590107627007,5.429932248961464,-2.4668324010131863,8.796105156578767,-9.379745164868998,3.6231942583145167,16.655368121456515,1.3423472601998607,17.837684383465845,0.12405021614392706
49.2,385.14248624518075,1.0998354866653757,0.5638056977530527,1,0.4477128717839956,0.42288660672973255,0.4420596550956821,0.28315986943722066,0.2067822031148362,0.2524652345443526,0.0005740698620390859,5.4210496605420895,-2.465221493215299,8.780341763393725,-9.400172545430783,3.647943380538087,16.653080173384215,1.3167592213016803,17.861114817520637,0.12382353295895632
49.300000000000004,384.82377297602545,1.09983954851408,0.5722099537778482,1,0.4301914723791425,0.40183098492460584,0.4174895163849178,0.21563564511836616,0.1972564672892615,0.21663136297743074,0.0002243848807767137,5.4145943774046374,-2.4658678276560653,8.765368902658036,-9.419100318086478,3.669537366878125,16.650807703565295,1.285449904441859,17.884681722161343,0.12360957994563797
49.400000000000006,384.6326520661596,1.0998435100753827,0.5824046655676871,1,0.4098331204037126,0.3814301582656762,0.39282025862181164,0.1993093257960859,0.18702142361355722,0.20137498636701823,0.0002463317306992633,5.410557709764695,-2.468190809022489,8.7512404605016,-9.436434585047472,3.6881219569857895,16.648550904408456,1.2587906987574062,17.908123277512043,0.12341226377879008
49.5,384.169635156674,1.0998473738253882,0.5942718034940417,1,0.38284909344885154,0.35280713059690244,0.3683422420785697,0.15471957264932484,0.1402087464400084,0.19073868854563375,0.0001887076376817361,5.40874480171144,-2.4716087279409167,8.738007284059293,-9.452094769167578,3.7039016142467895,16.64630997179139,1.2329247553850506,17.931054964464913,0.12323505216829872
49.6,383.93806511843013,1.099851142179066,0.6054845159588336,1,0.34916499238079873,0.3378257894392359,0.347035388548198,0.11421417091871834,0.2044484338740268,0.19724711329284314,0.0008043439532562221,5.409004833027621,-2.4757178042717802,8.72571699847619,-9.4660367499979,3.7171316310854485,16.644085097482435,1.2073737367124422,17.95323925026073,0.12308112155322773
49.7,383.22318919240325,1.0998548174917602,0.6155060122222733,1,0.33252062266313365,0.31011240218918185,0.3153234436811305,0.18165249725110486,0.1406387855587272,0.15340279178331506,0.00032098310983973204,5.4112036408958435,-2.479916924951501,8.714413835508479,-9.47824180345659,3.7280871266905575,16.641876470846693,1.1804292289249207,17.974414142893092,0.12295302374098827
49.800000000000004,382.5845862809176,1.0998584020606605,0.6268642876358361,1,0.3135590878290336,0.2880824065733819,0.28434973167748556,0.16059536423337326,0.1553911030767528,0.138756162697518,0.0004468725018469079,5.415178520137259,-2.4836668847565075,8.704138474336888,-9.488710736847983,3.7370868941173803,16.639684273231616,1.1586009785375033,17.99434854859185,0.12285305860483044
49.900000000000006,382.29685172514337,1.0998618981262396,0.6370607583225695,1,0.28952066344891975,0.2686243166069561,0.2599423799541221,0.1254696001054993,0.14883659103703203,0.1630217343299238,0.0004330562099093053,5.42095580453316,-2.4862603308761675,8.694927895165577,-9.497464924715796,3.744479025831972,16.637508690176155,1.1396172563823017,18.01293922910383,0.12278267130301398
50.0,381.7076141752574,1.0998653078736518,0.6452057292858672,1,0.26669108468004415,0.24198216576839215,0.22628564222041148,0.12292165469269521,0.10676742431447525,0.08699625463079085,0.00031768432966122387,5.42878540832606,-2.4866008868089304,8.686815246133332,-9.504517839746574,3.750659545651617,16.635349905431063,1.1228738787107806,18.030146056848565,0.12274288292943034
50.1,381.2289417362297,1.0998686334341004,0.6518890191093465,1,0.24082165242148365,0.21245276795372547,0.19866852942067442,0.09693587797025181,0.07778258512041146,0.08756536252629027,0.0005647439581256865,5.439182540631413,-2.4835587959935803,8.67982972401606,-9.509845772994089,3.756118344920253,16.63320809977732,1.1121289351267425,18.04614213433016,0.12273441218114722
50.2,380.81329939630575,1.0998718768861688,0.6543688416994082,1,0.214989823845161,0.18341951339929777,0.1713409446777037,0.07546135759654188,0.05210953658956938,0.08572085572278447,0.0004532745813733373,5.453120526998234,-2.475872693482509,8.673996469149921,-9.513356886330525,3.761430906804882,16.631083455346054,1.1026673198880905,18.061412892454726,0.12275726431381201
50.300000000000004,380.28440942924055,1.0998750402571207,0.6477856201938665,1,0.20501673096694606,0.1615716483692552,0.14316777508235257,0.1486629582538043,0.05668826627080254,0.05318437801604135,0.0008809779656529653,5.4725389048304445,-2.462276903426219,8.669336474953278,-9.51483842302152,3.767264417464736,16.628976145780452,1.095889132265955,18.07718252177326,0.12281093134588927
